user_id,email,plan_tier,signup_date
u00000,user0@example.com,premium,2026-03-12 14:57:07.548238
u00001,user1@example.com,basic,2026-02-23 14:57:07.548238
u00002,user2@example.com,premium,2027-12-23 14:57:07.548238
u00003,user3@example.com,premium,2036-03-18 14:57:07.548238
u00004,user4@example.com,basic,2038-01-24 14:57:07.548238
u00005,user5@example.com,basic,2037-11-26 14:57:07.548238
u00006,user6@example.com,premium,2030-09-14 14:57:07.548238
u00007,user7@example.com,standard,2034-09-18 14:57:07.548238
u00008,user8@example.com,premium,2031-01-29 14:57:07.548238
u00009,user9@example.com,premium,2033-05-23 14:57:07.548238
u00010,user10@example.com,premium,2033-04-27 14:57:07.548238
u00011,user11@example.com,premium,2029-05-01 14:57:07.548238
u00012,user12@example.com,basic,2030-12-11 14:57:07.548238
u00013,user13@example.com,premium,2025-03-23 14:57:07.548238
u00014,user14@example.com,standard,2035-03-29 14:57:07.548238
u00015,user15@example.com,basic,2028-04-22 14:57:07.548238
u00016,user16@example.com,standard,2026-08-02 14:57:07.548238
u00017,user17@example.com,standard,2036-01-25 14:57:07.548238
u00018,user18@example.com,standard,2025-02-24 14:57:07.548238
u00019,user19@example.com,standard,2026-11-27 14:57:07.548238
u00020,user20@example.com,basic,2029-04-20 14:57:07.548238
u00021,user21@example.com,basic,2029-05-06 14:57:07.548238
u00022,user22@example.com,standard,2029-09-08 14:57:07.548238
u00023,user23@example.com,standard,2025-01-26 14:57:07.548238
u00024,user24@example.com,basic,2032-11-25 14:57:07.548238
u00025,user25@example.com,basic,2035-08-17 14:57:07.548238
u00026,user26@example.com,basic,2024-12-02 14:57:07.548238
u00027,user27@example.com,premium,2033-08-20 14:57:07.548238
u00028,user28@example.com,premium,2030-04-28 14:57:07.548238
u00029,user29@example.com,premium,2035-01-22 14:57:07.548238
u00030,user30@example.com,standard,2036-03-25 14:57:07.548238
u00031,user31@example.com,premium,2035-07-02 14:57:07.548238
u00032,user32@example.com,standard,2028-11-28 14:57:07.548238
u00033,user33@example.com,standard,2029-05-13 14:57:07.548238
u00034,user34@example.com,premium,2030-02-08 14:57:07.548238
u00035,user35@example.com,standard,2034-11-05 14:57:07.548238
u00036,user36@example.com,premium,2029-01-01 14:57:07.548238
u00037,user37@example.com,premium,2025-01-28 14:57:07.548238
u00038,user38@example.com,basic,2036-02-06 14:57:07.548238
u00039,user39@example.com,premium,2030-09-20 14:57:07.548238
u00040,user40@example.com,basic,2035-07-29 14:57:07.548238
u00041,user41@example.com,premium,2029-03-11 14:57:07.548238
u00042,user42@example.com,premium,2037-09-04 14:57:07.548238
u00043,user43@example.com,basic,2029-03-07 14:57:07.548238
u00044,user44@example.com,basic,2033-03-30 14:57:07.548238
u00045,user45@example.com,premium,2025-05-01 14:57:07.548238
u00046,user46@example.com,standard,2028-04-23 14:57:07.548238
u00047,user47@example.com,basic,2034-07-23 14:57:07.548238
u00048,user48@example.com,standard,2032-04-29 14:57:07.548238
u00049,user49@example.com,standard,2033-01-16 14:57:07.548238
u00050,user50@example.com,standard,2030-03-28 14:57:07.548238
u00051,user51@example.com,basic,2034-03-16 14:57:07.548238
u00052,user52@example.com,standard,2034-11-10 14:57:07.548238
u00053,user53@example.com,basic,2028-12-11 14:57:07.548238
u00054,user54@example.com,standard,2038-05-11 14:57:07.548238
u00055,user55@example.com,premium,2034-07-17 14:57:07.548238
u00056,user56@example.com,premium,2030-04-17 14:57:07.548238
u00057,user57@example.com,basic,2031-06-24 14:57:07.548238
u00058,user58@example.com,premium,2038-05-21 14:57:07.548238
u00059,user59@example.com,premium,2038-03-29 14:57:07.548238
u00060,user60@example.com,standard,2036-08-04 14:57:07.548238
u00061,user61@example.com,basic,2036-01-11 14:57:07.548238
u00062,user62@example.com,standard,2033-02-19 14:57:07.548238
u00063,user63@example.com,standard,2036-03-16 14:57:07.548238
u00064,user64@example.com,standard,2035-08-21 14:57:07.548238
u00065,user65@example.com,standard,2037-05-28 14:57:07.548238
u00066,user66@example.com,standard,2032-12-17 14:57:07.548238
u00067,user67@example.com,standard,2034-03-17 14:57:07.548238
u00068,user68@example.com,standard,2037-05-12 14:57:07.548238
u00069,user69@example.com,basic,2031-02-09 14:57:07.548238
u00070,user70@example.com,premium,2032-11-26 14:57:07.548238
u00071,user71@example.com,standard,2026-10-14 14:57:07.548238
u00072,user72@example.com,standard,2034-09-26 14:57:07.548238
u00073,user73@example.com,standard,2029-02-16 14:57:07.548238
u00074,user74@example.com,standard,2032-10-24 14:57:07.548238
u00075,user75@example.com,standard,2025-07-02 14:57:07.548238
u00076,user76@example.com,standard,2028-12-31 14:57:07.548238
u00077,user77@example.com,premium,2030-03-14 14:57:07.548238
u00078,user78@example.com,premium,2030-08-03 14:57:07.548238
u00079,user79@example.com,standard,2026-08-13 14:57:07.548238
u00080,user80@example.com,premium,2029-09-02 14:57:07.548238
u00081,user81@example.com,basic,2027-08-16 14:57:07.548238
u00082,user82@example.com,standard,2034-10-11 14:57:07.548238
u00083,user83@example.com,basic,2027-09-13 14:57:07.548238
u00084,user84@example.com,basic,2029-04-04 14:57:07.548238
u00085,user85@example.com,standard,2032-06-28 14:57:07.548238
u00086,user86@example.com,premium,2030-04-29 14:57:07.548238
u00087,user87@example.com,basic,2025-07-29 14:57:07.548238
u00088,user88@example.com,standard,2025-01-29 14:57:07.548238
u00089,user89@example.com,basic,2028-02-23 14:57:07.548238
u00090,user90@example.com,basic,2030-06-21 14:57:07.548238
u00091,user91@example.com,basic,2034-04-22 14:57:07.548238
u00092,user92@example.com,basic,2031-01-15 14:57:07.548238
u00093,user93@example.com,premium,2025-10-04 14:57:07.548238
